FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
G9X,56.3,2.3,5.7,57.3,37,64.7,26.7,66.7,32.7,47.4334,-72.7824
H1A,38,2,6,38.7,32,19,14.3,50.7,37.3,45.6753,-73.5016
H1B,38.5,3.5,4.5,35,0.5,26,0.5,62,0.5,45.632,-73.5075
H1E,57,2,9,20,59,51,24,64,4,45.6342,-73.5842
H1G,31,1.5,7,71,12,67,60,33,16,45.6109,-73.6211
H1H,49,4,6.5,55.5,4.5,60.5,38.5,50.5,5.5,45.5899,-73.6389
H1K,19,5,7,4,100,3,8,7,100,45.6097,-73.5472
H1L,56,1,9,80,0,90,50,90,0,45.6043,-73.5178
H1M,50.5,2.8,8.2,20.5,34.3,23.2,17.8,50.8,3.2,45.5883,-73.5572
H1N,40,2,6,48,8,35,21,4,42,45.5779,-73.5304
H1P,44,6,6,3,47,52,61,74,46,45.5966,-73.5928
H1R,41.7,2.3,7.3,12.7,53,43,38.3,51.3,28,45.5864,-73.6082
H1S,43,3,9,38,68,63,22,4,15,45.5808,-73.5825
H1V,23,5,8,23,58,41,67,48,64,45.5585,-73.5386
H1X,56,3,8,22,3,64,51,81,5,45.5583,-73.5701
H1Z,41,3,9,3,90,96,58,15,2,45.5694,-73.6221
H2A,45,4,9,38,16,82,59,74,28,45.5618,-73.599
H2B,57.5,2.5,8,39.5,24.5,30.5,49.5,76.5,28,45.5741,-73.6507
H2G,20,3,9,73,57,45,64,74,3,45.5438,-73.5927
H2H,43,3,7,57,0,60,58,0,0,45.5374,-73.5735
H2J,73,2,9,29,0,45,30,71,0,45.5302,-73.5831
H2K,61.2,2.7,8,65.3,17.8,59.7,37.7,57,6.8,45.5307,-73.5547
H2L,40.8,4,8.4,45.6,28.2,52.4,29,42.4,37.6,45.5186,-73.5545
H2S,55.7,3.7,8.7,50,16.7,53.7,13,34,4.7,45.5354,-73.6061
H2T,30,4,9,73,0,28,33,19,1,45.5247,-73.5953
H2V,54,4.5,9.5,60,25,56,57,21,22.5,45.5168,-73.6072
H2W,19,1,6,0,100,0,0,0,0,45.5176,-73.5804
H2X,29.5,2,7,2,51.5,13.5,7.5,18.5,24,45.5115,-73.5683
H3A,50,3,9,85,10,90,50,0,0,45.504,-73.574700000000007
H3C,34.5,4,9.5,56,51.5,37.5,41,32,42,45.498,-73.5472
H3E,54,3,10,13,80,32,20,72,41,45.4594,-73.5501
H3J,77,1,8,31,2,48,4,48,0,45.4861,-73.5732
H3K,42,6,7,6,16,16,48,99,21,45.4805,-73.5554
H3M,37,1,6,21,7,30,88,98,15,45.5383,-73.6932
H3P,40.5,4.5,8.5,75,47,77,54,54,32,45.5217,-73.6393
H3S,50,3,10,86,16,72,82,45,51,45.5063,-73.6297
H3T,21,3,7,62,4,41,27,86,8,45.5018,-73.6191
H3X,23,6,10,67,56,47,29,8,37,45.4819,-73.6421
H4B,27,4,5,96,73,97,83,84,84,45.4604,-73.6303
H4C,56,3,7.3,55.3,21.3,43.3,26.7,53.3,15.7,45.4737,-73.5882
H4E,49.5,3,7,13.5,54.5,29.5,39,100,0.5,45.4546,-73.5985
H4K,55,3,9,74.5,21.5,46,66,49.5,12.5,45.5171,-73.7363
